Gender,Locality,Income,College,SSLC,PlusTwo,Degree
1,0,2,1,76.61,84.94,88.94
0,1,1,1,81.36,85.48,82.32
1,1,3,1,73.57,88.9,79.27
0,1,1,1,80.86,88.36,88.33
0,1,0,1,93.42,88.95,89.5
0,1,3,1,95.02,82.05,88.75
1,0,3,1,63.58,89.14,91.22
0,0,2,1,73.34,86.52,80.7
0,1,0,1,69.03,77.58,90.16
0,0,2,1,67.16,85.46,86.76
1,1,2,1,72.28,82.83,86.95
1,1,2,1,95.3,86.83,90.1
1,1,0,1,86.61,84.89,89.85
1,1,1,1,69.78,90.47,87.3
1,1,3,1,66.91,89.2,85.34
1,0,3,1,80.6,80.15,83.89
1,1,1,1,90.49,83.84,84.63
1,0,3,1,74.25,93.06,87.48
1,0,2,1,87.73,90.46,86.85
0,0,1,1,61.38,77.43,86.75
1,1,2,1,76.62,85.63,89.1
1,1,2,1,98.58,84.56,90.31
1,1,3,1,79.55,80.23,86.75
1,1,0,1,76.07,90.44,87.43
1,1,2,1,69.77,88.22,85.47
1,1,2,1,84.62,88.59,82.9
1,1,1,1,77.78,89.68,86.01
1,0,2,1,71.45,88.32,91.16
0,1,1,1,81.97,85.75,89.98
0,1,2,1,76.28,83.8,85.03
0,1,2,1,79.83,83.99,87.49
1,0,0,1,90.46,83.51,88.57
1,0,0,1,65.92,87.2,86.17
1,1,1,1,68.29,96.07,87.61
1,1,0,1,82.34,89.05,83.25
1,0,3,1,71.65,92.51,86.22
1,1,1,1,85.17,78.42,85.59
1,1,2,1,93.39,78.62,88.32
1,1,0,1,60.69,82.94,82.83
1,0,3,1,81.88,91.26,89.48
1,1,3,1,96.06,80.06,86.43
1,0,1,1,81.87,85.5,83.55
1,1,1,1,84.18,88.35,86.81
0,1,2,1,68.17,91.65,87.24
1,0,2,1,83.79,88.13,88.8
1,1,1,1,88.13,79.48,80.02
0,0,1,1,78.93,85.4,81.56
1,0,2,1,86.6,89.18,87.96
1,1,3,1,94.43,84.42,88.06
0,1,3,1,86.47,79.73,87.02
1,1,0,1,94.43,88.18,81.63
1,0,2,1,73.63,92.18,87.32
1,0,2,1,72.06,92.66,85.72
0,0,0,1,70.35,86.71,82.49
0,1,1,1,97.96,81.94,92.68
1,0,0,1,71.43,79.13,89.46
1,0,2,1,72.37,85.85,87.85
0,0,1,1,62.83,87.48,88.29
1,0,0,1,76.58,86.67,90.57
1,1,3,1,88.25,93.02,84.34
1,0,3,1,90.3,91.69,91.6
1,1,2,1,67.88,85.23,82.07
0,1,3,1,73.95,86.63,85.15
0,1,2,1,73.01,81.24,89.5
0,1,3,1,93.65,88.07,87.84
1,1,2,1,75.64,90.51,81.65
0,1,1,1,61.45,82.03,87.22
1,1,1,1,83.7,84.49,88.55
1,0,2,1,73.65,90.86,89.91
1,0,3,1,85.26,95.24,86.87
0,1,3,1,99.64,82.07,89.16
0,1,2,1,79.52,87.64,84.04
0,0,1,1,77.2,86.36,87.01
0,0,3,1,81.21,86.62,83.48
0,1,3,1,74.48,89.6,89.98
1,0,1,1,76.59,85.66,87.0
0,1,2,1,75.82,84.45,88.86
1,1,2,1,77.36,97.22,84.61
0,1,1,1,84.78,82.59,90.65
0,1,3,1,94.27,81.8,85.31
1,1,1,1,92.37,89.59,87.02
1,0,2,1,89.22,87.25,89.31
0,0,3,1,87.65,82.83,88.43
1,0,3,1,88.2,84.32,98.36
1,0,3,1,78.06,90.73,84.14
1,1,0,1,73.49,82.79,84.7
1,1,3,1,71.55,82.16,87.51
1,1,0,1,69.57,84.65,89.46
1,1,1,1,61.37,91.77,87.78
0,1,2,2,75.91,87.14,92.36
0,0,2,2,91.68,86.11,87.03
1,1,0,2,92.83,91.3,84.19
1,1,2,2,88.79,82.11,87.15
1,0,3,2,78.6,82.23,90.16
1,1,3,2,69.32,96.51,86.18
1,1,0,2,80.36,92.8,82.59
0,1,2,2,96.53,88.66,82.19
0,0,2,2,94.17,87.66,90.63
1,1,0,2,85.68,77.06,86.08
0,1,2,2,78.77,88.05,86.6
0,1,0,2,90.78,79.63,89.8
1,1,0,2,79.31,92.36,83.53
0,0,0,2,68.6,78.0,89.97
1,1,0,2,84.18,87.78,86.96
1,0,3,2,76.29,94.45,87.01
1,1,1,2,95.36,84.76,83.93
0,1,2,2,82.28,83.77,87.43
1,0,2,2,64.18,76.74,91.23
1,0,3,2,69.06,83.44,84.01
1,1,2,2,84.27,97.05,87.83
0,1,2,2,95.2,92.36,86.24
1,0,0,2,82.54,84.79,82.71
0,0,2,2,73.86,86.18,89.53
0,0,3,2,98.73,86.63,89.66
1,0,0,2,70.06,79.55,84.99
1,1,0,2,71.95,82.74,84.63
1,0,2,2,77.64,87.63,83.35
0,1,0,2,73.74,88.52,85.04
1,1,1,2,73.85,89.41,80.84
1,1,2,2,85.4,92.7,89.43
1,1,0,2,88.57,89.51,86.7
1,1,1,2,87.71,95.24,86.91
1,1,1,2,78.25,88.45,83.78
1,1,1,2,87.09,86.73,85.0
1,0,3,2,77.96,92.78,87.8
1,1,0,2,94.4,85.0,90.47
1,0,2,2,79.52,84.22,87.71
0,1,1,2,82.27,84.78,86.13
1,0,2,2,78.31,90.79,84.0
1,1,2,2,66.13,76.96,85.94
1,1,0,2,79.21,82.13,84.91
1,0,2,2,86.54,84.32,77.44
1,0,0,2,60.47,90.22,89.43
1,1,2,2,68.57,86.55,83.36
1,1,0,2,77.24,86.31,80.29
0,1,3,2,81.17,90.6,90.5
1,1,0,2,75.26,83.48,83.81
1,1,1,2,94.87,86.87,84.21
1,1,3,2,92.31,87.62,91.24
0,0,0,2,78.42,82.69,83.72
0,1,2,2,74.76,82.84,84.68
1,1,3,2,60.1,79.85,84.6
1,1,0,2,88.9,83.33,87.16
0,0,2,2,79.87,82.31,84.01
1,1,3,2,79.5,81.0,83.94
1,0,2,2,68.3,94.65,82.65
0,0,3,2,79.94,90.0,87.44
1,0,3,2,91.19,80.1,89.08
1,1,0,2,66.21,80.68,83.86
0,1,3,2,68.2,87.63,84.71
1,1,2,2,78.61,82.24,87.83
1,0,3,2,70.1,84.34,90.87
